Index_Place,City,Name_SMEs,General_Category,Specialty,Price_Range,Rating,Goods,Description,Contact
J_68,Jakarta,SanderAllshope,Fashion,Kaos Jakarta,<25.000,4.4,Casual Fashion,SanderAllshope menjual beraneka ragam kaos bertuliskan Jakarta atau bergambarkan kekhasan Jakarta yang cocok digunakan sebagai oleh-oleh,https://shopee.co.id/naoumiwu
J_69,Jakarta,D.v_store88,Fashion,Kaos Jakarta,<25.000,4.6,Casual Fashion,"D.v_store88 menjual kaos yang cocok digunakan sebagai oleh-oleh. Kaos yang dijual oleh UMKM ini merupakan kaos yang bertuliskan Jakarta atau dilengkapi dengan gambar berbagai kekhasan Jakarta, seperti monas dan lain sebagainya. ",081311996116
J_70,Jakarta,Batik Betawi Terogong,Fashion,Batik,>50.000,4.7,Formal Fashion,"Batik Betawi Terogong menjual pakaian batik khas betawi. Selain itu, toko ini juga menjual kain batik yang dapat dijadikan pakaian sesuai dengan selera pembeli.",(021) 7669767
J_71,Jakarta,Bagus Batik,Fashion,Batik,>50.000,5,Formal Fashion,Bagus Batik menjual beraneka ragam jenis baju batik yang dapat dijadikan sebagai pakaian untuk ke kantor maupun ke sekolah atau universitas. Batik yang dijual oleh toko ini memiliki kualitas yang baik dan harga terjangkau.,081932595916
J_72,Jakarta,Ursula Batik,Fashion,Batik,>50.000,4.8,Formal Fashion,"Ursula Batik menjual pakaian formal batik yang dapat digunakan untuk bekerja, menghadiri berbagai jenis acara. Batik yang dijual oleh toko ini meliputi batik untuk wanita dan pria.",https://shopee.co.id/ursulabatik
J_73,Jakarta,Damaifashion,Fashion,Kaos Wanita,<25.000,4.6,Casual Fashion,"Damaifashion menjual berbagai jenis kaos wanita yang menarik dan harga terjangkau, sehingga cocok untuk digunakan dalam kegiatan sehari-hari.",https://shopee.co.id/damaifashion
Y_01,Yogyakarta,Dian Handycraft,Craft,Kerajinan Serat Alam,>50.000,4.6,Souvenir,"Dian Handycraft menjual kerajinan tangan yang terbuat dari serat alam, seperti tas dan keranjang. Selain itu, tokko ini juga menjual kerajinan yang terbuat dari eceng gondok dan rami.",https://www.instagram.com/dian_handycraft/
Y_02,Yogyakarta,Moje Bag,Craft,"Sling Bag Goni, Dompet HP Goni",<25.000,4.8,Souvenir,Moje Bag menjual tas selempang dan dompet yang berbahan dasar goni yang dilengkapi dengan furing dan tali serut  yang memiliki sumbu besar dan tebal.,https://shopee.co.id/mojebag
Y_03,Yogyakarta,I Craft,Craft,Dompet Kulit,>50.000,4.8,Souvenir,I Craft menjual dompet kulit yang berkualitas dan harga terjangkau. Dompet kulit yang dijual oleh I Craft cocok digunakan oleh semua kalangan.,081391503011
Y_04,Yogyakarta,Produksi Tote Bag Jogja,Craft,Tote Bag Custom,25.000-50.000,5,Souvenir,"Produksi Tote Bag Jogja menjual tote bag yang dapat dicustom sesuai dengan keinginan penjual. Selain itu, Produksi Tote Bag Jogja juga menjual tote bag polos dengan harga yang juga terjangkau dan berkualitas baik.",https://www.instagram.com/produksitotebagjogja/
