Index_Place,City,Name_SMEs,General_Category,Specialty,Price_Range,Rating,Goods
Y_36,Yogyakarta,Mie Ayam Bu Tumini,F&B,Mie Ayam,<25.000,4.5,Street Food
Y_37,Yogyakarta,Bakmi Jawa Jo'Kleru Mbah Pawiro,F&B,Bakmi Jawa,25.000-50.000,4.6,Main Course
Y_38,Yogyakarta,Seafood Pak Jenggot,F&B,Seafood,>50.000,4.5,Main Course
Y_39,Yogyakarta,Cak No Chinese Food,F&B,"Nasi Goreng, Mie Goreng, Fu yung hai",25.000-50.000,4.8,Main Course
Y_40,Yogyakarta,Gudeg Mercon Bu Tinah,F&B,Gudeg Mercon,<25.000,4.2,Street Food
Y_41,Yogyakarta,SBTB Lesehan Terang Bulan Malioboro,F&B,Burung Dara Goreng,25.000-50.000,4.4,Main Course
Y_42,Yogyakarta,Ikan Bakar Bu Bambang,F&B,Ikan Bakar,>50.000,4.5,Main Course
Y_43,Yogyakarta,Mangut Lele Dapur Asli Mbok Marto Ijoyo,F&B,Mangut Lele,>50.000,4.6,Main Course
Y_44,Yogyakarta,Brownie Jogja Byfitrii,Munchies,Fudgie Brownies,>50.000,4.9,Snack
Y_45,Yogyakarta,"Brownies Cinta Jogja, Jogokariyan",Munchies,Brownies,>50.000,4.3,Snack
Y_46,Yogyakarta,"Bolu Susu Lembang Dan Bakpia Kukus Steven, Wirobrajan",Munchies,"Bolu Susu, Bolu Kukus, Bakpia Brokis",>50.000,4.7,Snack
Y_47,Yogyakarta,Bakpia Jongkem Ireda,Munchies,Bakpia,25.000-50.000,4.4,Snack
Y_48,Yogyakarta,Roti Bu Dalikin,Munchies,Marmer Cake,25.000-50.000,5,Snack
Y_49,Yogyakarta,Amalia Cake and Snack,Munchies,Chiffon,25.000-50.000,4.5,Snack
Y_50,Yogyakarta,Legit Snack & Co,Munchies,Roti Tradisional,<25.000,4.8,Street Snacks
Y_51,Yogyakarta,Ronde Kauman Mbah Payem,Munchies,Ronde,<25.000,4.6,Street Snacks
Y_52,Yogyakarta,Ma'am Ronde Wedang Lasmi,Munchies,Ronde,<25.000,4.5,Street Snacks
Y_53,Yogyakarta,Delima Juice,Munchies,Jus Buah,<25.000,4.8,Street Snacks
Y_54,Yogyakarta,Boba Party,Munchies,Bubble Milk Tea,<25.000,4.6,Street Snacks
Y_55,Yogyakarta,Mey Drink Boba,Munchies,Bubble Milk Tea,<25.000,3.9,Street Snacks
Y_56,Yogyakarta,Es Kelapa Muda Lempuyangan,Munchies,Es Degan,<25.000,4.8,Street Snacks
Y_57,Yogyakarta,Dawet Mbah Hari Pasar Beringharjo,Munchies,Dawet,<25.000,4.7,Street Snacks
Y_58,Yogyakarta,Depot Dawet TIMOHO,Munchies,Dawet,<25.000,4.7,Street Snacks
S_01,Surakarta,Bakpia Balong Solo,Munchies,Bakpia,>50.000,4.5,Snack
S_02,Surakarta,Roti Merani,Munchies,Kue Kering,>50.000,4.6,Snack
S_03,Surakarta,Kangen Solo,Munchies,Kue Ubin,25.000-50.000,4.9,Snack
S_04,Surakarta,Roti Amira,Munchies,"Roti, kue",<25.000,4.6,Street Snacks
S_05,Surakarta,Roti Dunay,Munchies,Roti,<25.000,5,Street Snacks
S_06,Surakarta,Ummika Brownie,Munchies,Brownies,25.000-50.000,4.6,Snack
S_07,Surakarta,Siliwangi Bolu Kukus Solo,Munchies,Bolu Kukus,25.000-50.000,4,Snack
S_08,Surakarta,"Roti Kecil, Snack dan Jajan Pasar, Veteran",Munchies,Roti,<25.000,4.5,Street Snacks
S_09,Surakarta,"Roti Gembong Ergos, Brigjend Sudiarto",Munchies,Roti Gembong,<25.000,4.3,Street Snacks
S_10,Surakarta,Bakpao La Rissa,Munchies,Bakpao,<25.000,4.6,Street Snacks
S_11,Surakarta,Serabi Dimi Kalilarangan,Munchies,Serabi Notosuman,<25.000,4.7,Street Snacks
S_12,Surakarta,Warung Kita,Munchies,Sosis Solo,<25.000,4.4,Street Snacks
S_13,Surakarta,Omah Peyek Bunder,Munchies,Peyek,<25.000,4.9,Street Snacks
S_14,Surakarta,Apem Sewu BibiMia,Munchies,Apem,25.000-50.000,5,Snack
S_15,Surakarta,Pukis Badran,Munchies,Pukis,>50.000,4.6,Snack
S_16,Surakarta,Rambak Kedelai Mr.San,Munchies,"Rambak kedelai, keripik tempe",<25.000,4,Street Snacks
S_17,Surakarta,Aesar Risoll,Munchies,Risoles,25.000-50.000,4.5,Snack
S_18,Surakarta,Toko Ochi Official,Munchies,Keripik kulit,<25.000,4.8,Street Snacks
S_19,Surakarta,Aydaa Snack,Munchies,Keripik usus pedas,<25.000,4.7,Street Snacks
S_20,Surakarta,Ksatria,Munchies,Abon,>50.000,4.9,Snack
S_21,Surakarta,"Es Ndelik, Serengan",Munchies,"Es Campur, Jus",<25.000,4.6,Street Snacks
S_22,Surakarta,Es Degan Si Doel,Munchies,Es Degan,<25.000,4.5,Street Snacks
S_23,Surakarta,Garasi Juice,Munchies,Jus Buah,<25.000,4.4,Street Snacks
S_24,Surakarta,Minoom.Ahh,Munchies,Milk Tea,<25.000,4.5,Street Snacks
S_25,Surakarta,Juice Buah Segar Berkah,Munchies,Jus Buah,<25.000,4.3,Street Snacks
S_26,Surakarta,Estekita,Munchies,Es Teh,<25.000,4.7,Street Snacks
S_27,Surakarta,Caocincao Cincau Hijau,Munchies,Es Cincau,<25.000,4.2,Street Snacks
S_28,Surakarta,Cha Nom Milk Boba,Munchies,Bubble Milk Tea,<25.000,4.4,Street Snacks
S_29,Surakarta,Es Degan Pak Mukhlis,Munchies,Es degan,<25.000,4.6,Street Snacks
S_30,Surakarta,Nasi Liwet Yu Tukinem,F&B,Nasi Liwet,<25.000,4.4,Street Food
S_31,Surakarta,Tahu Kupat Sido Mampir Masjid Solihin,F&B,Tahu Kupat,<25.000,4.5,Street Food
S_32,Surakarta,Bakso Pak Ruk,F&B,Bakso,25.000-50.000,4.5,Main Course
S_33,Surakarta,Soto & Sop Ayam Sari Prasojo,F&B,"Soto, Sop Ayam",<25.000,5,Street Food
S_34,Surakarta,Warung Pojok Depan SD Warga,F&B,Soto Daging,<25.000,4.6,Street Food
S_35,Surakarta,Sumber Bestik Pak Darmo,F&B,Bestik Sapi,25.000-50.000,5,Main Course
S_36,Surakarta,Gudeg Mbak Yus,F&B,Gudeg,>50.000,4.4,Main Course
S_37,Surakarta,Ayam Goreng Kampung Mbak Dewi,F&B,Ayam Goreng Kampung,>50.000,4.7,Main Course
S_38,Surakarta,Warung Makan Gempol Pleret dan Mie Thoprak Mangkuyudan,F&B,Bakmie Toprak,<25.000,4.5,Street Food
S_39,Surakarta,Harjo Bestik Pasar Kembang,F&B,Bestik Sapi,25.000-50.000,4.5,Main Course
S_40,Surakarta,Warung Bestik Pak Pur,F&B,Bestik Sapi,25.000-50.000,4.5,Main Course
S_41,Surakarta,Ayam Goreng Mbak Mul,F&B,Ayam Goreng,>50.000,4.4,Main Course
S_42,Surakarta,Ayam Kampung Goreng Mbah Karto Tembel,F&B,Ayam Goreng,>50.000,4.6,Main Course
S_43,Surakarta,Nasi Liwet Yu Sani ,F&B,Nasi Liwet,<25.000,4.6,Street Food
S_44,Surakarta,Nasi Liwet Yu Lestari,F&B,Nasi Liwet,<25.000,4.4,Street Food
S_45,Surakarta,Bakso & Mie Ayam Oshin Laris,F&B,Bakso,25.000-50.000,4.7,Main Course
S_46,Surakarta,Dawet Telasih Bu Dermi Pasar Gede,Munchies,Dawet,<25.000,4.4,Street Snacks
S_47,Surakarta,Es Campur Pak Kutir,Munchies,Es Campur,<25.000,4.5,Street Snacks
S_48,Surakarta,"Big Size Juice Jus Bar, Laweyan",Munchies,Jus buah,<25.000,4.7,Street Snacks
S_49,Surakarta,Es Krim Durian Rindu,Munchies,Es Krim Durian,<25.000,4.4,Street Snacks
S_50,Surakarta,"Burung Muda Coffee, Keprabon",Munchies,Kopi susu,<25.000,4,Street Snacks
S_51,Surakarta,Lentera Handycraft & Rajut Tas Grosir & Ecer,Craft,Dompet rajut,>50.000,5,Souvenir
S_52,Surakarta,Hanadia Souvenir & Craft,Craft,"Clutch, souvenir",>50.000,4.5,Souvenir
S_53,Surakarta,Suryo Art Craft,Craft,Wayang,>50.000,4.5,Souvenir
S_54,Surakarta,Handicraft Kaca Lukis,Craft,Kaca Lukis,>50.000,5,Souvenir
S_55,Surakarta,Hiasan Dinding Solo,Craft,Hiasan dinding,<25.000,4.5,Daily Needs
S_56,Surakarta,Woodycraft.id,Craft,"Kerajinan kayu, wrist rest ",>50.000,4.3,Household Items
S_57,Surakarta,Ucthiq craft,Craft,"Pouch, dompet, tas",25.000-50.000,4.9,Souvenir
S_58,Surakarta,Naura Craft Solo,Craft,"Rajutan, tas, dompet, bros",<25.000,5,Souvenir
S_59,Surakarta,Widya Tunggal,Craft,Celengan,<25.000,4.6,Daily Needs
S_60,Surakarta,Solo Ethnic,Craft,Kalung etnik,<25.000,4.9,Souvenir
S_61,Surakarta,Rajut Apik,Craft,"Dompet, tas, boneka rajut daur ulang",25.000-50.000,5,Souvenir
S_62,Surakarta,Lentik Handycraft,Craft,"Bantal, Kerajinan flanel",25.000-50.000,4.5,Daily Needs
S_63,Surakarta,Jual Murah.id,Craft,"Celengan kayu jati, kotak tisu",>50.000,4.8,Household Items
S_64,Surakarta,Rafastoresolo,Craft,"Map, kotak pensil, dompet daur ulang",25.000-50.000,4.7,Daily Needs
S_65,Surakarta,Ola Store,Fashion,"Kain Lurik, Busana Jawa",>50.000,4.9,Formal Fashion
S_66,Surakarta,LC Fashion,Fashion,Pakaian wanita,>50.000,4.7,Formal Fashion
S_67,Surakarta,Toko Surabaya,Fashion,"Kaos Motif, Kemeja Pria",25.000-50.000,5,Formal Fashion
S_68,Surakarta,Citra Busana,Fashion,Kemeja Batik Pria,>50.000,4.8,Formal Fashion
S_69,Surakarta,Grosir Kaos Pasar Klewer Solo Putri Srono,Fashion,Kaos,25.000-50.000,5,Casual Fashion
S_70,Surakarta,Ratu Fashion Solo ,Fashion,Pakaian wanita,>50.000,4.6,Formal Fashion
S_71,Surakarta,Pengrajin Blangkon Kaswanto,Fashion,Blangkon,<25.000,4.5,Formal Fashion
S_72,Surakarta,Jaya Busana Solo,Fashion,Daster,25.000-50.000,5,Casual Fashion
S_73,Surakarta,Sajadah Batik Tirtomartani Solo,Fashion,"Kemeja Batik, Rok Batik",>50.000,4.4,Formal Fashion
S_74,Surakarta,Shafira Solo,Fashion,Baju muslim,>50.000,5,Formal Fashion
S_75,Surakarta,Daster Grosir Solo,Fashion,Daster,<25.000,4.8,Casual Fashion
S_76,Surakarta,Cio Clothing,Fashion,Celana rumah,<25.000,4.7,Casual Fashion
